,date,t1,id1,g1,g2,id2,t2,tourn
2013,2013.08.20,Guarani,611,0,2,403,Atl. Nacional,Copa Sudamericana
2014,2013.08.20,U. Catolica,329,4,0,510,Emelec,Copa Sudamericana
2015,2013.08.20,Sport Recife,240,2,0,229,Nautico,Copa Sudamericana
2016,2013.08.21,Vitoria,242,1,0,215,Coritiba,Copa Sudamericana
2017,2013.08.21,Libertad Asuncion,614,2,0,923,Mineros,Copa Sudamericana
2018,2013.08.21,Aguilas,401,1,0,826,River Plate2,Copa Sudamericana
2019,2013.08.21,U. De Chile,330,1,1,515,Ind. del Valle,Copa Sudamericana
2020,2013.08.21,Criciuma,216,1,2,233,Ponte Preta,Copa Sudamericana
2021,2013.08.22,LDU Loja,516,0,0,615,Nacional Asuncion,Copa Sudamericana
2022,2013.08.22,San Lorenzo,33,0,1,31,River Plate,Copa Sudamericana
2023,2013.08.22,Dep. Pasto,411,1,0,307,Colo Colo,Copa Sudamericana
2024,2013.08.22,Portuguesa,234,1,2,207,Bahia,Copa Sudamericana
2025,2013.08.27,Atl. Nacional,403,0,0,611,Guarani,Copa Sudamericana
2026,2013.08.27,Coritiba,215,1,0,242,Vitoria,Copa Sudamericana
2027,2013.08.27,Emelec,510,2,3,329,U. Catolica,Copa Sudamericana
2028,2013.08.27,Ponte Preta,233,0,0,216,Criciuma,Copa Sudamericana
2029,2013.08.28,River Plate2,826,0,0,401,Aguilas,Copa Sudamericana
2030,2013.08.28,Bahia,207,0,0,234,Portuguesa,Copa Sudamericana
2031,2013.08.28,Lanus,24,2,0,30,Racing Club,Copa Sudamericana
2032,2013.08.28,Nautico,229,2,0,240,Sport Recife,Copa Sudamericana
2033,2013.08.28,Colo Colo,307,0,2,411,Dep. Pasto,Copa Sudamericana
2034,2013.08.28,Mineros,923,1,2,614,Libertad Asuncion,Copa Sudamericana
2035,2013.08.29,Nacional Asuncion,615,0,1,516,LDU Loja,Copa Sudamericana
2036,2013.08.29,Cobreloa,305,1,1,419,La Equidad,Copa Sudamericana
2037,2013.08.29,Velez Sarsfield,42,2,0,9,Belgrano,Copa Sudamericana
2038,2013.08.29,Ind. del Valle,515,1,3,330,U. De Chile,Copa Sudamericana
2039,2013.09.05,River Plate,31,0,0,33,San Lorenzo,Copa Sudamericana
2040,2013.09.18,La Equidad,419,1,2,42,Velez Sarsfield,Copa Sudamericana
2041,2013.09.18,Lanus,24,4,0,330,U. De Chile,Copa Sudamericana
2042,2013.09.19,LDU Loja,516,2,1,31,River Plate,Copa Sudamericana
2043,2013.09.24,Coritiba,215,0,1,401,Aguilas,Copa Sudamericana
2044,2013.09.25,U. De Chile,330,1,0,24,Lanus,Copa Sudamericana
2045,2013.09.25,Ponte Preta,233,2,0,411,Dep. Pasto,Copa Sudamericana
2046,2013.09.25,Libertad Asuncion,614,2,0,240,Sport Recife,Copa Sudamericana
2047,2013.09.26,River Plate,31,2,0,516,LDU Loja,Copa Sudamericana
2048,2013.09.26,Sao Paulo,239,1,1,329,U. Catolica,Copa Sudamericana
2049,2013.09.26,Atl. Nacional,403,1,0,207,Bahia,Copa Sudamericana
2050,2013.10.02,Velez Sarsfield,42,2,1,419,La Equidad,Copa Sudamericana
2051,2013.10.22,Dep. Pasto,411,1,0,233,Ponte Preta,Copa Sudamericana
2052,2013.10.23,Sport Recife,240,1,2,614,Libertad Asuncion,Copa Sudamericana
2053,2013.10.23,U. Catolica,329,3,4,239,Sao Paulo,Copa Sudamericana
2054,2013.10.24,Bahia,207,1,0,403,Atl. Nacional,Copa Sudamericana
2055,2013.10.24,Aguilas,401,2,1,215,Coritiba,Copa Sudamericana
2056,2013.10.29,Lanus,24,0,0,31,River Plate,Copa Sudamericana
2057,2013.10.30,Sao Paulo,239,3,2,403,Atl. Nacional,Copa Sudamericana
2058,2013.10.31,Libertad Asuncion,614,2,0,401,Aguilas,Copa Sudamericana
2059,2013.10.31,Ponte Preta,233,0,0,42,Velez Sarsfield,Copa Sudamericana
2060,2013.11.06,Atl. Nacional,403,0,0,239,Sao Paulo,Copa Sudamericana
2061,2013.11.06,River Plate,31,1,3,24,Lanus,Copa Sudamericana
2062,2013.11.07,Aguilas,401,1,0,614,Libertad Asuncion,Copa Sudamericana
2063,2013.11.07,Velez Sarsfield,42,0,2,233,Ponte Preta,Copa Sudamericana
2064,2013.11.20,Sao Paulo,239,1,3,233,Ponte Preta,Copa Sudamericana
2065,2013.11.21,Libertad Asuncion,614,1,2,24,Lanus,Copa Sudamericana
2066,2013.11.27,Ponte Preta,233,1,1,239,Sao Paulo,Copa Sudamericana
2067,2013.11.28,Lanus,24,2,1,614,Libertad Asuncion,Copa Sudamericana
2068,2013.12.04,Ponte Preta,233,1,1,24,Lanus,Copa Sudamericana
2069,2013.12.11,Lanus,24,2,0,233,Ponte Preta,Copa Sudamericana
2070,2014.01.28,Oriente Petrolero,118,1,0,817,Nacional,Copa Libertadores
2071,2014.01.29,Sporting Cristal,736,2,1,203,Athletico-PR,Copa Libertadores
